arbitrage_rank,arbitrage_multiple,poecurrency_title,poecurrency_category,poecurrency_price_usd,poecurrency_stock,listing_quantity,scout_name,scout_category,scout_kind,scout_divine_price,listing_divine_value,scout_quantity,price_per_divine_usd,usd_per_divine,direct_divine_price_usd
171,0.1224,Rune of Acrobatics,Socketable / Runes,0.02,-1,1.0,Rune of Acrobatics,Runes,currency,0.048953,0.048953,5,0.408552,0.408552,0.05
172,0.1218,Greater Rune of Tithing,Socketable / Runes,0.38,-1,1.0,Greater Rune of Tithing,Runes,currency,0.925577,0.925577,12,0.410555,0.410555,0.05
173,0.1218,Ancient Crisis Fragment,Keys ＆ Maps / Pinnacle Boss Keys,0.495,-1,1.0,Ancient Crisis Fragment,Fragments,currency,1.205483,1.205483,249,0.410624,0.410624,0.05
174,0.1192,Prismatic Alloy,Crafted Currency / Alloy,0.011,-1,1.0,Prismatic Alloy,Verisium,currency,0.026215,0.026215,205,0.419603,0.419603,0.05
175,0.1188,Kurgal's Leash,Skill Gems & Support Gems / Lineage Support Gems,0.0154,-1,1.0,Kurgal's Leash,Lineage Support Gems,currency,0.03659,0.03659,3,0.420885,0.420885,0.05
176,0.1187,Lesser Essence of Command,Crafted Currency / Essences,0.077,-1,1.0,Lesser Essence of Command,Essences,currency,0.182855,0.182855,2,0.421099,0.421099,0.05
177,0.1182,Omen of Resurgence,Crafted Currency / Ritual Omens,0.0055,-1,1.0,Omen of Resurgence,Ritual Omens,currency,0.013006,0.013006,2257,0.422896,0.422896,0.05
178,0.1178,Ancient Concentrated Liquid Isolation,Crafted Currency / Distilled Items,0.011,-1,1.0,Ancient Concentrated Liquid Isolation,Delirium,currency,0.025916,0.025916,9,0.424441,0.424441,0.05
179,0.1159,Omen of the Blessed,Crafted Currency / Ritual Omens,0.044,-1,1.0,Omen of the Blessed,Ritual Omens,currency,0.10202,0.10202,88,0.431287,0.431287,0.05
180,0.1152,Lesser Inspiration Rune,Socketable / Runes,0.03,-1,1.0,Lesser Inspiration Rune,Runes,currency,0.069111,0.069111,2,0.434087,0.434087,0.05
181,0.1146,Olroth's Saga,Keys ＆ Maps / Expedition Coinace &amp; Artifacts,0.11,-1,1.0,Olroth's Saga,Expedition Coinage & Artifacts,currency,0.252228,0.252228,70,0.436114,0.436114,0.05
182,0.1131,Craiceann's Rune of Warding,Socketable / Runes,0.03,-1,1.0,Craiceann's Rune of Warding,Runes,currency,0.067876,0.067876,7,0.441979,0.441979,0.05
183,0.113,Ancient Rune of Dueling,Socketable / Runes,0.02,-1,1.0,Ancient Rune of Dueling,Runes,currency,0.0452,0.0452,2,0.442475,0.442475,0.05
184,0.1112,Stag idol,Socketable / Idol,0.01,-1,1.0,Stag Idol,Idols,currency,0.02225,0.02225,57,0.449446,0.449446,0.05
185,0.1091,The Greatwolf's Rune of Willpower,Socketable / Runes,0.02,-1,1.0,The Greatwolf's Rune of Willpower,Runes,currency,0.043655,0.043655,7,0.458142,0.458142,0.05
186,0.109,Perfect Essence of Battle,Crafted Currency / Essences,0.022,-1,1.0,Perfect Essence of Battle,Essences,currency,0.047967,0.047967,117,0.458648,0.458648,0.05
187,0.108,Warding Rune of Protection,Socketable / Runes,0.01,-1,1.0,Warding Rune of Protection,Runes,currency,0.021597,0.021597,2,0.463026,0.463026,0.05
188,0.1066,Sovereign Alloy,Crafted Currency / Alloy,0.088,-1,1.0,Sovereign Alloy,Verisium,currency,0.18756,0.18756,108,0.469184,0.469184,0.05
189,0.1062,Refined Neural Catalyst,Crafted Currency / Breach Catalysts,0.044,-1,1.0,Refined Neural Catalyst,Breach,currency,0.093483,0.093483,183,0.470675,0.470675,0.05
190,0.1057,Potent Liquid Melancholy,Crafted Currency / Distilled Items,0.011,-1,1.0,Potent Liquid Melancholy,Delirium,currency,0.023247,0.023247,60,0.473169,0.473169,0.05
191,0.1039,Neural Catalyst,Crafted Currency / Breach Catalysts,0.011,-1,1.0,Neural Catalyst,Breach,currency,0.022848,0.022848,2443,0.48145,0.48145,0.05
192,0.1028,Lesser Adept Rune,Socketable / Runes,0.07,-1,1.0,Lesser Adept Rune,Runes,currency,0.14398,0.14398,1,0.486177,0.486177,0.05
193,0.1014,Tul's Stillness,Skill Gems & Support Gems / Lineage Support Gems,36.146,-1,1.0,Tul's Stillness,Lineage Support Gems,currency,73.333336,73.333336,9,0.4929,0.4929,0.05
194,0.1009,Lesser Iron Rune,Socketable / Runes,0.03,-1,1.0,Lesser Iron Rune,Runes,currency,0.060533,0.060533,26,0.495599,0.495599,0.05
195,0.1008,Idol of Alira,Socketable / Idol,0.01,-1,1.0,Idol of Alira,Ritual Omens,currency,0.020157,0.020157,3,0.496099,0.496099,0.05
196,0.0996,Soul Core of Jiquani,Socketable / Soul Cores,0.11,-1,1.0,Soul Core of Jiquani,Soul Cores,currency,0.219222,0.219222,29,0.501774,0.501774,0.05
197,0.0982,Essence of the Mind,Crafted Currency / Essences,0.0055,-1,1.0,Essence of the Mind,Essences,currency,0.010799,0.010799,8,0.509329,0.509329,0.05
198,0.0982,Lesser Essence of Ice,Crafted Currency / Essences,0.022,-1,1.0,Lesser Essence of Ice,Essences,currency,0.043194,0.043194,2,0.509329,0.509329,0.05
199,0.0974,Omen of Sinistral Crystallisation,Crafted Currency / Ritual Omens,0.077,-1,1.0,Omen of Sinistral Crystallisation,Ritual Omens,currency,0.149994,0.149994,350,0.513355,0.513355,0.05
200,0.096,Adept Rune,Socketable / Runes,0.03,-1,1.0,Adept Rune,Runes,currency,0.057592,0.057592,1,0.520904,0.520904,0.05
201,0.0957,Countess Seske's Rune of Archery,Socketable / Runes,0.05,-1,1.0,Countess Seske's Rune of Archery,Runes,currency,0.095748,0.095748,18,0.522203,0.522203,0.05
202,0.094,Essence of the Abyss,Crafted Currency / Essences,0.022,-1,1.0,Essence of the Abyss,Essences,currency,0.041349,0.041349,248,0.53205,0.53205,0.05
203,0.0936,Ancient Rune of Detonation,Socketable / Runes,0.02,-1,1.0,Ancient Rune of Detonation,Runes,currency,0.037435,0.037435,1,0.534261,0.534261,0.05
204,0.0927,Perfect Essence of the Mind,Crafted Currency / Essences,0.011,-1,1.0,Perfect Essence of the Mind,Essences,currency,0.020397,0.020397,12,0.539289,0.539289,0.05
205,0.0882,idol of Thruldana,Socketable / Idol,0.02,-1,1.0,Idol of Thruldana,Idols,currency,0.035275,0.035275,4,0.566971,0.566971,0.05
